duration,credit_amount,age,maintenance,telephone,foreign_worker,loan_status,checking_status,credit_history,purpose,saving_account,employment,income,sex,marital_status,guarantor,residence,property,installation_plan,housing,existing_credit,job
1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1
1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1
0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1
1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0
0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1
1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1
1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1
0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1
1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1
1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0
1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1
0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1
1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1
0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1
1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0
1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0
0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0
0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1
1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1
1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1
1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1
0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1
0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1
0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1
0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0
1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1
0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1
0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1
1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1
1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1
1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1
1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0
1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1
0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1
1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1
0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1
1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1
1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1
1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0
1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1
0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1
1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1
1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1
1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1
1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1
0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1
0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1
1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1
1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1
1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1
1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1
0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1
1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1
0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1
0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1
1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1
0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1
0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1
1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1
0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1
1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1
0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0
1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1
1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1
1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1
0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1
0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1
1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1
1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1
0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1
1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1
1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1
1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1
0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1
1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1
1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0
1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1
1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1
1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1
0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1
1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0
1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1
0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1
0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1
0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1
1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1
0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0
1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1
0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0
1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1
0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1
0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1
1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1
0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1
1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1
1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1
0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1
1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1
0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1
1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0
0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0
1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1
1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1
1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1
0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0
1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1
0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1
0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1
1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1
1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0
1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1
1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1
0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1
1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1
1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1
1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1
0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1
1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1
1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1
0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1
0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0
1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1
1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1
0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1
1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1
1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1
1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0
1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1
1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1
0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1
1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0
0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1
1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1
1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1
0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1
0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
